,product,year,month,price,date
161,"Сосиски, сардельки, кг",2025,март,859.47,2025-03-01
162,"Сосиски, сардельки, кг",2025,апрель,881.34,2025-04-01
163,"Сосиски, сардельки, кг",2025,май,888.55,2025-05-01
164,"Сосиски, сардельки, кг",2025,июнь,891.26,2025-06-01
165,"Сосиски, сардельки, кг",2025,июль,890.23,2025-07-01
166,"Сосиски, сардельки, кг",2025,август,897.95,2025-08-01
167,"Сосиски, сардельки, кг",2025,сентябрь,907.85,2025-09-01
168,"Колбаса полукопченая и варено-копченая, кг",2024,январь,979.27,2024-01-01
169,"Колбаса полукопченая и варено-копченая, кг",2024,февраль,989.57,2024-02-01
170,"Колбаса полукопченая и варено-копченая, кг",2024,март,988.64,2024-03-01
171,"Колбаса полукопченая и варено-копченая, кг",2024,апрель,990.52,2024-04-01
172,"Колбаса полукопченая и варено-копченая, кг",2024,май,1002.97,2024-05-01
173,"Колбаса полукопченая и варено-копченая, кг",2024,июнь,1007.58,2024-06-01
174,"Колбаса полукопченая и варено-копченая, кг",2024,июль,1029.61,2024-07-01
175,"Колбаса полукопченая и варено-копченая, кг",2024,август,1041.11,2024-08-01
176,"Колбаса полукопченая и варено-копченая, кг",2024,сентябрь,1090.54,2024-09-01
177,"Колбаса полукопченая и варено-копченая, кг",2024,октябрь,1093.33,2024-10-01
178,"Колбаса полукопченая и варено-копченая, кг",2024,ноябрь,1096.98,2024-11-01
179,"Колбаса полукопченая и варено-копченая, кг",2024,декабрь,1094.57,2024-12-01
180,"Колбаса полукопченая и варено-копченая, кг",2025,январь,1079.14,2025-01-01
181,"Колбаса полукопченая и варено-копченая, кг",2025,февраль,1111.62,2025-02-01
182,"Колбаса полукопченая и варено-копченая, кг",2025,март,1134.02,2025-03-01
183,"Колбаса полукопченая и варено-копченая, кг",2025,апрель,1170.87,2025-04-01
184,"Колбаса полукопченая и варено-копченая, кг",2025,май,1174.37,2025-05-01
185,"Колбаса полукопченая и варено-копченая, кг",2025,июнь,1180.4,2025-06-01
186,"Колбаса полукопченая и варено-копченая, кг",2025,июль,1166.32,2025-07-01
187,"Колбаса полукопченая и варено-копченая, кг",2025,август,1153.78,2025-08-01
188,"Колбаса полукопченая и варено-копченая, кг",2025,сентябрь,1173.69,2025-09-01
189,"Колбаса сырокопченая, кг",2024,январь,1385.73,2024-01-01
190,"Колбаса сырокопченая, кг",2024,февраль,1427.16,2024-02-01
191,"Колбаса сырокопченая, кг",2024,март,1430.43,2024-03-01
192,"Колбаса сырокопченая, кг",2024,апрель,1457.35,2024-04-01
193,"Колбаса сырокопченая, кг",2024,май,1436.18,2024-05-01
194,"Колбаса сырокопченая, кг",2024,июнь,1457.51,2024-06-01
195,"Колбаса сырокопченая, кг",2024,июль,1475.06,2024-07-01
196,"Колбаса сырокопченая, кг",2024,август,1498.9,2024-08-01
197,"Колбаса сырокопченая, кг",2024,сентябрь,1507.23,2024-09-01
198,"Колбаса сырокопченая, кг",2024,октябрь,1542.55,2024-10-01
199,"Колбаса сырокопченая, кг",2024,ноябрь,1549.6,2024-11-01
200,"Колбаса сырокопченая, кг",2024,декабрь,1569.81,2024-12-01
201,"Колбаса сырокопченая, кг",2025,январь,1623.48,2025-01-01
202,"Колбаса сырокопченая, кг",2025,февраль,1631.54,2025-02-01
203,"Колбаса сырокопченая, кг",2025,март,1699.72,2025-03-01
204,"Колбаса сырокопченая, кг",2025,апрель,1715.84,2025-04-01
205,"Колбаса сырокопченая, кг",2025,май,1744.27,2025-05-01
206,"Колбаса сырокопченая, кг",2025,июнь,1744.27,2025-06-01
207,"Колбаса сырокопченая, кг",2025,июль,1744.27,2025-07-01
208,"Колбаса сырокопченая, кг",2025,август,1746.67,2025-08-01
209,"Колбаса сырокопченая, кг",2025,сентябрь,1749.69,2025-09-01
210,"Консервы мясные для детского питания, кг",2024,январь,1660.49,2024-01-01
211,"Консервы мясные для детского питания, кг",2024,февраль,1688.73,2024-02-01
212,"Консервы мясные для детского питания, кг",2024,март,1683.81,2024-03-01
213,"Консервы мясные для детского питания, кг",2024,апрель,1723.95,2024-04-01
214,"Консервы мясные для детского питания, кг",2024,май,1711.02,2024-05-01
215,"Консервы мясные для детского питания, кг",2024,июнь,1737.16,2024-06-01
216,"Консервы мясные для детского питания, кг",2024,июль,1754.27,2024-07-01
217,"Консервы мясные для детского питания, кг",2024,август,1772.23,2024-08-01
218,"Консервы мясные для детского питания, кг",2024,сентябрь,1765.82,2024-09-01
219,"Консервы мясные для детского питания, кг",2024,октябрь,1767.25,2024-10-01
220,"Консервы мясные для детского питания, кг",2024,ноябрь,1794.35,2024-11-01
221,"Консервы мясные для детского питания, кг",2024,декабрь,1879.09,2024-12-01
222,"Консервы мясные для детского питания, кг",2025,январь,1905.5,2025-01-01
223,"Консервы мясные для детского питания, кг",2025,февраль,1908.44,2025-02-01
224,"Консервы мясные для детского питания, кг",2025,март,1949.84,2025-03-01
225,"Консервы мясные для детского питания, кг",2025,апрель,1965.29,2025-04-01
226,"Консервы мясные для детского питания, кг",2025,май,2001.7,2025-05-01
227,"Консервы мясные для детского питания, кг",2025,июнь,2004.62,2025-06-01
228,"Консервы мясные для детского питания, кг",2025,июль,2035.17,2025-07-01
229,"Консервы мясные для детского питания, кг",2025,август,2055.15,2025-08-01
230,"Консервы мясные для детского питания, кг",2025,сентябрь,2091.27,2025-09-01
231,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,январь,679.86,2024-01-01
232,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,февраль,684.92,2024-02-01
233,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,март,684.92,2024-03-01
234,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,апрель,651.13,2024-04-01
235,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,май,639.32,2024-05-01
236,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,июнь,632.81,2024-06-01
237,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,июль,630.14,2024-07-01
238,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,август,624.81,2024-08-01
239,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,сентябрь,643.88,2024-09-01
240,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,октябрь,659.67,2024-10-01
241,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,ноябрь,684.85,2024-11-01
242,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2024,декабрь,702.15,2024-12-01
243,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,январь,844.37,2025-01-01
244,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,февраль,863.06,2025-02-01
245,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,март,863.06,2025-03-01
246,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,апрель,863.06,2025-04-01
247,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,май,868.04,2025-05-01
248,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,июнь,860.89,2025-06-01
249,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,июль,859.87,2025-07-01
250,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,август,908.87,2025-08-01
251,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",2025,сентябрь,907.82,2025-09-01
252,"Филе рыбное, кг",2024,январь,460.74,2024-01-01
253,"Филе рыбное, кг",2024,февраль,478.15,2024-02-01
254,"Филе рыбное, кг",2024,март,478.22,2024-03-01
255,"Филе рыбное, кг",2024,апрель,489.13,2024-04-01
256,"Филе рыбное, кг",2024,май,493.06,2024-05-01
257,"Филе рыбное, кг",2024,июнь,492.28,2024-06-01
258,"Филе рыбное, кг",2024,июль,487.39,2024-07-01
259,"Филе рыбное, кг",2024,август,481.94,2024-08-01
260,"Филе рыбное, кг",2024,сентябрь,486.72,2024-09-01
261,"Филе рыбное, кг",2024,октябрь,509.18,2024-10-01
262,"Филе рыбное, кг",2024,ноябрь,526.67,2024-11-01
263,"Филе рыбное, кг",2024,декабрь,566.92,2024-12-01
264,"Филе рыбное, кг",2025,январь,585.14,2025-01-01
265,"Филе рыбное, кг",2025,февраль,593.27,2025-02-01
266,"Филе рыбное, кг",2025,март,597.46,2025-03-01
267,"Филе рыбное, кг",2025,апрель,605.43,2025-04-01
268,"Филе рыбное, кг",2025,май,617.29,2025-05-01
269,"Филе рыбное, кг",2025,июнь,618.91,2025-06-01
270,"Филе рыбное, кг",2025,июль,622.96,2025-07-01
271,"Филе рыбное, кг",2025,август,631.7,2025-08-01
272,"Филе рыбное, кг",2025,сентябрь,630.91,2025-09-01
273,"Рыба соленая, маринованная, копченая, кг",2024,январь,783.05,2024-01-01
274,"Рыба соленая, маринованная, копченая, кг",2024,февраль,792.6,2024-02-01
275,"Рыба соленая, маринованная, копченая, кг",2024,март,805.7,2024-03-01
276,"Рыба соленая, маринованная, копченая, кг",2024,апрель,815.63,2024-04-01
277,"Рыба соленая, маринованная, копченая, кг",2024,май,827.59,2024-05-01
278,"Рыба соленая, маринованная, копченая, кг",2024,июнь,827.59,2024-06-01
279,"Рыба соленая, маринованная, копченая, кг",2024,июль,836.99,2024-07-01
280,"Рыба соленая, маринованная, копченая, кг",2024,август,887.6,2024-08-01
281,"Рыба соленая, маринованная, копченая, кг",2024,сентябрь,893.96,2024-09-01
282,"Рыба соленая, маринованная, копченая, кг",2024,октябрь,932.95,2024-10-01
283,"Рыба соленая, маринованная, копченая, кг",2024,ноябрь,942.14,2024-11-01
284,"Рыба соленая, маринованная, копченая, кг",2024,декабрь,992.16,2024-12-01
285,"Рыба соленая, маринованная, копченая, кг",2025,январь,1001.43,2025-01-01
286,"Рыба соленая, маринованная, копченая, кг",2025,февраль,1032.99,2025-02-01
287,"Рыба соленая, маринованная, копченая, кг",2025,март,1043.08,2025-03-01
288,"Рыба соленая, маринованная, копченая, кг",2025,апрель,1044.08,2025-04-01
289,"Рыба соленая, маринованная, копченая, кг",2025,май,1056.28,2025-05-01
290,"Рыба соленая, маринованная, копченая, кг",2025,июнь,1081.9,2025-06-01
291,"Рыба соленая, маринованная, копченая, кг",2025,июль,1080.09,2025-07-01
292,"Рыба соленая, маринованная, копченая, кг",2025,август,1104.63,2025-08-01
293,"Рыба соленая, маринованная, копченая, кг",2025,сентябрь,1125.72,2025-09-01
294,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,январь,226.44,2024-01-01
295,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,февраль,230.03,2024-02-01
296,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,март,230.03,2024-03-01
297,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,апрель,229.75,2024-04-01
298,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,май,229.15,2024-05-01
299,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,июнь,227.87,2024-06-01
300,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,июль,219.72,2024-07-01
301,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,август,217.47,2024-08-01
302,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,сентябрь,222.55,2024-09-01
303,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,октябрь,234.88,2024-10-01
304,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,ноябрь,241.1,2024-11-01
305,"Рыба мороженая разделанная (кроме лососевых пород), кг",2024,декабрь,250.01,2024-12-01
306,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,январь,267.83,2025-01-01
307,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,февраль,277.32,2025-02-01
